"+", "Mon Jun 15 13:44:08 PDT 2009", "tweeteradder9", "@beibambini Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip "
"+", "Mon Jun 15 13:46:08 PDT 2009", "MadThatter", "@clarelouise19 I know I love them!  IT WORKED THEN! YAY! X"
"+", "Mon Jun 15 13:48:16 PDT 2009", "LaylaNatalie", "@matthewsheppard heehehehee bit of a nuttah sometimes "
"+", "Mon Jun 15 13:48:25 PDT 2009", "McFlyMcFans", "#musicmonday follow us when you're a fan of McFly!  Spread the word!"
"+", "Mon Jun 15 13:50:15 PDT 2009", "CraigtheEMT", "@DonnaNBC4 awww that's wonderful!  "
"+", "Mon Jun 15 13:50:22 PDT 2009", "Zonk", "@pasmith @Yembles It is my opinion that your opinion is incorrect.  I find his writing highly inspirational."
"+", "Mon Jun 15 13:52:35 PDT 2009", "LiamBrown1993", "@liam54 Thanks, me to "
"+", "Mon Jun 15 13:54:33 PDT 2009", "daniamiwa", "@terawozqualls no problem! I was surprised by the results so far. "
"+", "Mon Jun 15 13:54:36 PDT 2009", "tweeteradder12", "@dhaplesha Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip "
"+", "Mon Jun 15 13:56:28 PDT 2009", "ad_vance", "De maine pot juca Sims 3, acum am mouse  Thanks @dandelion_nyc "
"+", "Mon Jun 15 13:56:40 PDT 2009", "sillygnd", "@mrskutcher I like that... But it could also lead to stalkers.. "
"+", "Mon Jun 15 13:58:29 PDT 2009", "Sparkly_V", "goign off to bed  good night!"
"+", "Mon Jun 15 13:58:32 PDT 2009", "RocCityGirl22", "@THE_WOCKEEZ Phi @DonnieWahlberg was in our sect last nite &amp; missed getting u a set of twins ;) lol Bad DDUB! jk  lol http://pix.im/E2NBk"
"+", "Mon Jun 15 13:58:37 PDT 2009", "kelsealove2", "eric hilton, you look like a plus size model today. "
"+", "Mon Jun 15 13:58:38 PDT 2009", "tweeteradder13", "@dailygadgets Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip "
"+", "Mon Jun 15 14:00:36 PDT 2009", "954GiRL4LiFe", "@jstar0731 I miss you more boo "
"+", "Mon Jun 15 14:00:40 PDT 2009", "shenitamoore", "ADVENTURES IN BABYSITTING! I loved this movie growing up! "
"+", "Mon Jun 15 14:04:41 PDT 2009", "hotones", "@LilSlut hehehe wanna see me fuck my hubby like a sissy?  My friends all bust up laughing and say it is really sexy and manly LOL"
"+", "Mon Jun 15 14:04:50 PDT 2009", "MakeupNme", "@glamourdolleyes Hey Vanessa, how are you?  "
"+", "Mon Jun 15 14:08:56 PDT 2009", "kristenlavsya", "Money makes me happy  i got a whole new outlook at life!"
"+", "Mon Jun 15 14:12:56 PDT 2009", "jennylynnn", "I have alot of bestfriends haha ! Sleeping over at sams house woohoo "
"+", "Mon Jun 15 14:19:08 PDT 2009", "zarah417", "Now we are going to try it again "
"+", "Mon Jun 15 14:35:13 PDT 2009", "oXo_AnniE_oXo", "3700 updates!!!!!!!!! "
"+", "Mon Jun 15 14:35:16 PDT 2009", "madbrad", "@infamy_TV I'm silly I tell yah!!!  Just out havin fun with my sons  How are you?"
"+", "Mon Jun 15 14:35:28 PDT 2009", "Rellz", "@callnher_killah thanks  I needed a change, I love it!"
"+", "Mon Jun 15 14:39:33 PDT 2009", "markchitty", "@nextread Who do you buy the domains through? I might invest in one or two for myself "
"+", "Mon Jun 15 14:43:41 PDT 2009", "ClareNerney", "i sitting with her cuppa tea and catching up on the hills "
"+", "Mon Jun 15 14:45:48 PDT 2009", "ingek73", "@jmaryfletch glad you had a fab time, I'm going weekend after next "
"+", "Mon Jun 15 14:49:44 PDT 2009", "stephensonmc", "Over 500 followers! Thanks community "
"+", "Mon Jun 15 14:51:39 PDT 2009", "jolenemarie", "@LaPetiteSirene http://twitpic.com/7hn1w - OMB! Whacko is her nickname for sure!  She is a trip!"
"+", "Mon Jun 15 14:51:44 PDT 2009", "Zooeeee", "HELLO GOOD MOOD! just done a nice amount of exercise! I wont let anything get me down tonight, im too happy for that "
"+", "Mon Jun 15 14:51:51 PDT 2009", "treytaylor", "just peeked at my schedule for tomorrow... yuck! meeting tuesday will be extra meety "
"+", "Mon Jun 15 14:51:54 PDT 2009", "nhamtoey", "@Kimbot1984  I'm not looking to move anywhere right now. As u said job hunting is double pain at this time. BTW nice profile pic "
"+", "Mon Jun 15 14:57:50 PDT 2009", "eallenvii", "@ScottHuska rock the boat "
"+", "Mon Jun 15 14:59:49 PDT 2009", "Lunnie_Lou", "Oh Frick him!! I'll go on my sodding own. New Zealand... Here. I. Come! "
"+", "Mon Jun 15 14:59:49 PDT 2009", "GGGKeri", "@scarie thank you "
"+", "Mon Jun 15 14:59:50 PDT 2009", "Grandma2", "Goin to see the hangover  just won a race car game lol"
"+", "Mon Jun 15 15:00:00 PDT 2009", "samthrax", "Dear @holly_baugh: don't forget your cholo homies now that you're bigtime. "
"+", "Mon Jun 15 15:05:46 PDT 2009", "RaizaRibeiro", "@dougiemcfly I hate you  Tweet tweet"
"+", "Mon Jun 15 15:06:02 PDT 2009", "Mach1Music", "@KeelyMarshall woooohoo! go lakers! "
"+", "Mon Jun 15 15:08:05 PDT 2009", "rosie_hardy", "last exam went awesome  i am freeeeee!!!!! big's surprise comes tomorrow.... i am excited!"
"+", "Mon Jun 15 15:09:34 PDT 2009", "letsmakeitlast", "i am growing in many different ways, and i am glad "
"+", "Mon Jun 15 15:10:47 PDT 2009", "amykant", "@templon oh i totally agree! "
"+", "Mon Jun 15 15:14:03 PDT 2009", "bmalone", "is happy the week is off to a great start! "
"+", "Mon Jun 15 15:14:10 PDT 2009", "LovegrooveDudes", "Really tired but i have to watch True Romance...soo goood "
"+", "Mon Jun 15 15:14:10 PDT 2009", "donotrefreeze", "Anyway, goodnight. Haha. Leave me lovely replies for when I wake up tomorrow, anyone? "
"+", "Mon Jun 15 15:20:10 PDT 2009", "mwclarkson", "Thanks to all who replied (now go to bed!). Twhirl seems to be doing the best job for now. May call on you at 2pm tomorra "
"+", "Mon Jun 15 15:20:27 PDT 2009", "kalzonex3", "@stylemerad, haha, she acts like she is? thats funny. "
"+", "Mon Jun 15 15:24:13 PDT 2009", "Rockwell47", "Chilling at Canyon Lake yesterday with my cuz  http://short.to/fuzk"
"+", "Mon Jun 15 15:24:20 PDT 2009", "Merc_hyn_di", "@Silverine Cool. "
"+", "Mon Jun 15 15:24:21 PDT 2009", "lovebug1994", "OMJ! LVATT comes out 2MORO!!! woohoo!! "
"+", "Mon Jun 15 15:24:39 PDT 2009", "VirtualRaven", "wow @AlohaArleen its only 11 in the morning  you got allll day ;)"
"+", "Mon Jun 15 15:32:20 PDT 2009", "jonarablu", "Thank you  @nunomontenegro: &quot;rb the most two beautiful flowers of @jonarablu  http://blip.fm/~8a8lu"
"+", "Mon Jun 15 15:34:29 PDT 2009", "warofthewords", "@cyberpr Excellent site design. Very enticing. Good music too. "
"+", "Mon Jun 15 15:34:37 PDT 2009", "christinaholla", "ready for a chill night "
"+", "Mon Jun 15 15:36:29 PDT 2009", "VioletsCRUK", "Right guys.....think i need my bed! Talk to you all tomorrow!  Goodnight xxx"
"+", "Mon Jun 15 15:38:20 PDT 2009", "KevinWegner", "Playing basketball with Ry "
"+", "Mon Jun 15 15:40:21 PDT 2009", "egothieves", "@its_sb What you wana do with it bruva? Get at me  After all i only have the biggest Dubstep mix series online atm! True stories lol"
"+", "Mon Jun 15 15:42:22 PDT 2009", "BobbyGanush", "Gahh! I left my toothbrush at home!!! Good thing I'm a a freak about brushing my teeth and have 2 brand new ones in my drawer "
"+", "Mon Jun 15 15:46:34 PDT 2009", "amanda_kelly", "So I'm thinking I spent too much time in the sun! I'm a little pink!  Oh well! Still going to the pool tomorrow! Off to VBS now."
"+", "Mon Jun 15 15:46:43 PDT 2009", "djcool_m", "@taylorswift13 u rapping, bet that would be cool "
"+", "Mon Jun 15 15:48:29 PDT 2009", "whatastupidlamb", "listening to camp rock songs   i was just in the mood ;)  loving @ddlovato 's voice "
"+", "Mon Jun 15 15:48:34 PDT 2009", "voiceoverartist", "@KarenLongstaff a pleasure . Had to shorten slightly as wouldn't fit  x"
"+", "Mon Jun 15 15:52:42 PDT 2009", "Miley_Cy", "i am not dating liam! we have a kissing scene on the beach today  im just working  not a bad job huh? haha"
"+", "Mon Jun 15 15:54:32 PDT 2009", "gaxx", "@terrym OOh - we have that recorded- really looking forward to it "
"+", "Mon Jun 15 15:54:49 PDT 2009", "angielaaa", "Aaron n I got another betta  yay! Still miss you Ariel :/"
"+", "Mon Jun 15 15:56:46 PDT 2009", "foreverjennifer", "Voted for teen choice awards... Wish they would include another category: Christian and Inspirational music! Sent them an email about it. "
"+", "Mon Jun 15 15:56:48 PDT 2009", "Eric77lv", "Just had some dinner it was good. "
"+", "Mon Jun 15 16:00:38 PDT 2009", "JulianKrone", "beanies are here! excited than a mofucka! "
"+", "Mon Jun 15 16:00:40 PDT 2009", "SimpleMia", "@jjooss Bye!  good night!! &lt;33"
"+", "Mon Jun 15 16:00:41 PDT 2009", "GreenIslandArt", "@queenmisha selling some art "
"+", "Mon Jun 15 16:00:44 PDT 2009", "anelisxo", "i cant wait untill july. omg just saw Jb do the &quot;thinking of you&quot; cover.dude its totally badass. i love it &lt;33 anywho  gonna eat now  byee"
"+", "Mon Jun 15 16:02:52 PDT 2009", "sarzeff", "@rodleland it's a good word, Cam and I were laughing at you though it's in pretty much every tweet "
"+", "Mon Jun 15 16:04:50 PDT 2009", "ruthie_0_o", "@keely_0_o via @Courtney_0_o Yepp!!  well lets stop tweet txting before Emily gets mad!"
"+", "Mon Jun 15 16:04:59 PDT 2009", "SCSilk", "@hollyrpeete I'd be afraid, personally.  "
"+", "Mon Jun 15 16:06:49 PDT 2009", "girliegirl1223", "Chillin on my couch "
"+", "Mon Jun 15 16:08:55 PDT 2009", "pandapoo", "@tommyb98 welcome to the past "
"+", "Mon Jun 15 16:10:46 PDT 2009", "coelismall", "just developed the polaroids "
"+", "Mon Jun 15 16:12:54 PDT 2009", "Firefly2020", "@LadyCruella ahha I like that ---Trotting Tuesday!  Clever gal!  "
"+", "Mon Jun 15 16:12:56 PDT 2009", "ChainsawRaven", "@WayneRockwood Grats on the Ding my friend! "
"+", "Mon Jun 15 16:12:57 PDT 2009", "TheAnchoress", "@JC_Christian well, I guess I am wicked, then. "
"+", "Mon Jun 15 16:13:00 PDT 2009", "AshleeStewart", "Can't wait for Van Warped Tour. Getting super excited AHH! "
"+", "Mon Jun 15 16:14:48 PDT 2009", "imelda", "@tracytesmer Uh hello! I'm from Corpus and know ppl. Email or call! I can help "
"+", "Mon Jun 15 16:16:49 PDT 2009", "natalialepinski", "@jonasbrothers http://twitpic.com/7gowf - South America dominating here  but Brazil is MUCH BETTER *-*"
"+", "Mon Jun 15 16:19:09 PDT 2009", "Medros", "@Zebgora I try to be kind to all those who convert "
"+", "Mon Jun 15 16:21:01 PDT 2009", "Snakeshowrage", "It's 4:20 and I'm on my way to pick up  happy vacayyyyy!!"
"+", "Mon Jun 15 16:23:12 PDT 2009", "xtempsxperdu", "@amandapalmer that was awesome   (amandapalmer live &gt; http://ustre.am/1qRf)"
"+", "Mon Jun 15 16:25:10 PDT 2009", "bagramian", "@artate  yes, they've alot to learn from 1 another. SS is gonna order the police to harass the Iranian students in Yerevan #Iranelection"
"+", "Mon Jun 15 16:26:48 PDT 2009", "no_ware_land", "@nyakototo coffee and cherry pie sounds good right abt now...  "
"+", "Mon Jun 15 16:35:11 PDT 2009", "Ldavies283", "@joffwl Check out the Palm Pre then "
"+", "Mon Jun 15 16:37:03 PDT 2009", "ms_sugakane", "@sexysti It will be fun... "
"+", "Mon Jun 15 16:37:11 PDT 2009", "stacyspeaks", "Home feels good!  My room got remodeled  oh and i hate feeling cluttered S:"
"+", "Mon Jun 15 16:41:10 PDT 2009", "yeahshestamps", "Making pasta and insalata blu with mom "
"+", "Mon Jun 15 16:43:06 PDT 2009", "Anyclean", "Feeling sleepy already - it's only 0:40. Gotta finish here and go to bed. Tomorrow is a busy day and I need to be fresh "
"+", "Mon Jun 15 16:43:07 PDT 2009", "mariam9229", "getting ready to watch the bachelorette!!!! then its off to the gym and finally, it will be bedtimeeeeee!!! "
"+", "Mon Jun 15 16:43:13 PDT 2009", "mariebwg", "And my drama group and me is going to perform a play infront of alot of people tomorow. I have butterflies in my tummy! Wish me good luck "
"+", "Mon Jun 15 16:45:06 PDT 2009", "writerjessica", "is pretty content with life. New job, new friends, new outlook on life "
"+", "Mon Jun 15 16:45:12 PDT 2009", "KoryAnne", "My little man is becoming quite the cook! Thanks for helping with thetacos Gavin! "
"+", "Mon Jun 15 16:45:13 PDT 2009", "tweeteradder3", "@jwill_baby Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip "
"+", "Mon Jun 15 16:45:17 PDT 2009", "fmeichel", "clap clap clap for twitter and his parteners !  #iranelection"
"+", "Mon Jun 15 16:45:18 PDT 2009", "cheyennelasoya", "dying my hair pink again sitin next to brittney "
"+", "Mon Jun 15 16:45:19 PDT 2009", "jhudson", "@ryanrk shibby! "
"+", "Mon Jun 15 16:45:21 PDT 2009", "kaseypoteet", "@flushgorden I got Ash vs Freddy vs Jason TPB...There r some sweet fan trailers 4 it floating around online u should look up sometime. "
"+", "Mon Jun 15 16:46:51 PDT 2009", "tweeteradder4", "@thepennylane Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip "
"+", "Mon Jun 15 16:47:09 PDT 2009", "twitchphx602", "@mmmeri cant wait for you to get off work....then its tattoo time "
"+", "Mon Jun 15 16:49:16 PDT 2009", "madiegan", "@sammm8D thanks. "
"+", "Mon Jun 15 16:49:17 PDT 2009", "lvenglarcz", "oh, and I just found out from my cousin that she's gonna have a girl  I am so looking forward to october!"
"+", "Mon Jun 15 16:51:02 PDT 2009", "lesamonster", "@anaxolotl nice crotch! "
"+", "Mon Jun 15 16:53:17 PDT 2009", "Beelitis", "@carol_carter1 @BriansSexMonkey awww thanks I feel so special *blushes* KTBSPA  #BSB"
"+", "Mon Jun 15 16:55:10 PDT 2009", "Lov399", "oh yea and HAPPY 6 MONTHS BABY!!!   @Boobie33"
"+", "Mon Jun 15 16:55:17 PDT 2009", "dreacham", "@lauren_nichelle i'll be sure to let daddy know! he'll be really happy. "
"+", "Mon Jun 15 16:55:18 PDT 2009", "CierraJane2", "i'm a sucker for guys with glasses "
"+", "Mon Jun 15 17:03:15 PDT 2009", "nwangelle", "is bout to go to a baseball game with some familyy "
"+", "Mon Jun 15 17:05:12 PDT 2009", "heyhey_2012", "@FollowClaudia So do I!!!  I really want to see them in concert some time! I am hopeing they come to Dodge!!!"
"+", "Mon Jun 15 17:09:31 PDT 2009", "EP31", "@mhcranberry ooooo yaaaaaaaaaaaaaaay "
"+", "Mon Jun 15 17:11:13 PDT 2009", "itsnicolebaby", "RAW three-hour special tonight "
"+", "Mon Jun 15 17:21:19 PDT 2009", "EricaSheff", "ahh i love the acoustic Creep "
"+", "Mon Jun 15 17:21:26 PDT 2009", "imonesourcandy", "i love my men with some meat on them "
"+", "Mon Jun 15 17:21:31 PDT 2009", "KeviKev", "Chrysler restarts the Viper plant just time time for your midlife crisis. "
"+", "Mon Jun 15 17:21:36 PDT 2009", "jennsbookshelf", "Listening my son read Horrid Henry's Sleepover to me "
"+", "Mon Jun 15 17:23:20 PDT 2009", "dejelly", "17mins to work.. Seems to be quite consistant.. With time left for a quick breakfast "
"+", "Mon Jun 15 17:25:27 PDT 2009", "grantbourque", "But not hard enough. Try going to grantbourque.m7k.org on your iPhone. "
"+", "Mon Jun 15 17:25:32 PDT 2009", "annamalgorzata", "Got car to myself and cranking  waiting for photos to print. Country folk staring at me cause it's LOUD lol!"
"+", "Mon Jun 15 17:27:20 PDT 2009", "AbbyKolstad", "Okay, now that I have been watching Amanda Palmer since 5:30, I NEED to start painting!! I did mow the lawn   and spent no money"
"+", "Mon Jun 15 17:27:38 PDT 2009", "chipsahoy6", "it finally feels like summer "
"+", "Mon Jun 15 17:29:37 PDT 2009", "randomflowers", "http://bit.ly/11qBki  20 icons of Anton Yelchin xD! Comments as always appreciated "
"+", "Mon Jun 15 17:31:24 PDT 2009", "Mattburns9999", "Im pumped about the 3.0 iphone update! "
"+", "Mon Jun 15 17:37:27 PDT 2009", "allyd0124", "http://twitpic.com/7ibno - kaylah &amp;the vest i sew buttons on "
"+", "Mon Jun 15 17:37:34 PDT 2009", "lerosi", "Jogando IT Manager.... Beeeem legal! "
"+", "Mon Jun 15 17:39:24 PDT 2009", "joeyfortman", "@e_fink LOVE IT THANKS FOR SHARING!  "
"+", "Mon Jun 15 17:39:37 PDT 2009", "christy71", "I shoud become a singer someday in the near future !!! "
"+", "Mon Jun 15 17:39:45 PDT 2009", "laurenwhitney", "@jr4jc88 i'm going to wake tech for 1-2 semesters then transferring to ECU or UNCW for elementary ed "
"+", "Mon Jun 15 17:41:34 PDT 2009", "its_nancy", "The regis girl was very chatty and kept saying cool and cute kinda got on my nerves but she did a good job on my bangs "
"+", "Mon Jun 15 17:41:43 PDT 2009", "bexmith", "@aphalloides Thank you!    I'm so excited to bake again now, woohoo!"
"+", "Mon Jun 15 17:41:45 PDT 2009", "youngmickey", "@sosoxo yep exactly "
"+", "Mon Jun 15 17:43:32 PDT 2009", "zeyingying", "@meiliteh Hi meili.. Long time no c.. How's life in UTP? "
"+", "Mon Jun 15 17:45:30 PDT 2009", "kaitman", "@gerardamo her awesome live webcast auction. she said my name and signed mine first. "
"+", "Mon Jun 15 17:49:44 PDT 2009", "krystianm15", "With my favorites "
"+", "Mon Jun 15 17:51:40 PDT 2009", "grobanmelody", "My Carrie Underwood fan club membership is almost expired and time to renew..ahh the expenses of being such a devoted fan "
"+", "Mon Jun 15 17:51:44 PDT 2009", "talkrubbish", "@indiaknight goodnight and to yr robin too  x"
"+", "Mon Jun 15 17:53:52 PDT 2009", "FTSKBrittanyy", "Woot. Woot! Getting a paid account on LiveJournal. Liiffeee is goood. And my mommy is awesome. "
"+", "Mon Jun 15 17:55:42 PDT 2009", "RosalieCullen", "@BrandyVirtual Omg!!! Hey!!! "
"+", "Mon Jun 15 17:55:44 PDT 2009", "sarahgilbert", "@grigs that *is* me, and truman! 2006. fun "
"+", "Mon Jun 15 17:57:32 PDT 2009", "nicoletroncoso", "hahaha xD. @luisjaen i love you so much  you make me happy"
"+", "Mon Jun 15 17:57:33 PDT 2009", "LuvTwilight1632", "@TheRealRyanHiga me too "
"+", "Mon Jun 15 17:59:40 PDT 2009", "musicadium", "Attending the Debonair's lunch at Paddington Tavern today - Music Industry only - anyone else going? "
"+", "Mon Jun 15 17:59:42 PDT 2009", "ccmaine", "@c4thomas Ohai C  My eyes burn from looking at flight matrices. Can I just click my heels and be in the sweatiest city in the USA??"
"+", "Mon Jun 15 18:05:38 PDT 2009", "aquilesbrinko", "All My Loving "
"+", "Mon Jun 15 18:05:42 PDT 2009", "AliceCullenRPG", "@BellaCullenRPG it confusing . . . But like you said, Rome wasnt built in a day "
"+", "Mon Jun 15 18:05:46 PDT 2009", "rollinonvdubz", "is gettin down on Halo 3.  http://raptr.com/rollinonvdubz"
"+", "Mon Jun 15 18:07:54 PDT 2009", "justlivetoparty", "i am what i am, i can't help myself. and if you don't like it get with somebody else, 'cause i'll NEVER change my ways "
"+", "Mon Jun 15 18:09:39 PDT 2009", "sangeyvang", "@TheRealRyanHiga GASP! you watch Korean Drama's too? haha. which onesss? "
"+", "Mon Jun 15 18:11:39 PDT 2009", "caitlinharnett", "11:11 - i wish that you smile today "
"+", "Mon Jun 15 18:11:44 PDT 2009", "renatamaiumi", "ooks, I'm going watch CQC ! Bye dudes, good bless yaa ! "
"+", "Mon Jun 15 18:11:55 PDT 2009", "Tyronius", "@capitaln that's how I roll. Comfort over image IMO "
"+", "Mon Jun 15 18:15:36 PDT 2009", "bholmes_jerz", "@Hollywood_East check your DM  all you have to do is listen to the first song"
"+", "Mon Jun 15 18:15:56 PDT 2009", "chiaw", "@sharonloh &quot;...In repentance and rest is your salvation, in quietness and trust is your strength...&quot; ~Isaiah 30:3 "
"+", "Mon Jun 15 18:26:02 PDT 2009", "TheUnDiet", "@CookingWithEd Please let us know when u do. Good info is always welcome "
"+", "Mon Jun 15 18:27:44 PDT 2009", "jkkc97", "@zen_devil_duck Can you find me a straight one too? just kidding... sorta   "
"+", "Mon Jun 15 18:27:44 PDT 2009", "ChrisSamnee", "@j_bacardi Okay, you and Julie Schwartz were a couple of rhe rare exceptions with excellant taste "
"+", "Mon Jun 15 18:32:08 PDT 2009", "Rachelxx34", "@mitchelmusso Your so amazingly nice! I can't wait to see you again and actually see you perform your songs! I love the whole cd "
"+", "Mon Jun 15 18:34:00 PDT 2009", "monsterchew", "@bumgenius by blogging  and talking it up, esp the $ saved ad the cute factor (among a ton of other reasons) #clothdiapers"
"+", "Mon Jun 15 18:36:05 PDT 2009", "Maarely", "I'm out twit... cuida a mis crazy sisters  @Yadirocker @Rocketwomann"
"+", "Mon Jun 15 18:38:11 PDT 2009", "Shabrow", "Open your picture in &quot;Picture It&quot; or similar program; Adjust tent to green; save as new picture; Upload to Twitter! "
"+", "Mon Jun 15 18:41:56 PDT 2009", "HeathaMurhie", "is awesomeeee!  tonights plans: pool hopping with dave, sisco, richard, randy, destin, and possibly jimmy and shane. "
"+", "Mon Jun 15 18:46:06 PDT 2009", "Swing_Kid", "Calling into Vancouver to find a place to live in the fall  Hopefully I can find something really close to school!"
"+", "Mon Jun 15 18:47:59 PDT 2009", "futuresurgeon15", "@k_frace heyyy kelly! this is allison! soo i have NO CLUE! how to work this thing haha , well LOVE YOU! and I'll see u tom @ swimming "
"+", "Mon Jun 15 18:48:01 PDT 2009", "mybaseballcards", "@MISSMYA That's why I don't remember exactly what day it was   I hope all is well with you and I have been thinking about you a lot "
"+", "Mon Jun 15 18:48:02 PDT 2009", "aimzsta", "@yolie81 July 20... agggges away kinda... "
"+", "Mon Jun 15 18:50:02 PDT 2009", "Steeneh", "...and I realize how much things have changed since then. I know people in the fandom now! I love blogTV and Twitter. And all of you "
"+", "Mon Jun 15 18:52:20 PDT 2009", "michelle_fiona", "oooh tweet deck is kinda sweet  no more now."
"+", "Mon Jun 15 18:54:00 PDT 2009", "davemark", "Hey, cool, David Pogue (@Pogue ) retweeted a pun a sent him a while back. Thanks, David! "
"+", "Mon Jun 15 18:56:20 PDT 2009", "hugomn", "Hello you! ;) I'm cleaning spiderwebs here!  New pictures. Do you want buy some pets?  www.buytter.com/hugomn"
"+", "Mon Jun 15 18:58:13 PDT 2009", "CeLine_XD", "@mikecarden hi mike!!! well you can tweet through your phone [texting] and if you have an iPhone or itouch you can download a twitte app! "
"+", "Mon Jun 15 19:00:12 PDT 2009", "NiaBPretty", "@la_bellachica Its Ok lol i feel so much bigger than what i am! ugh when you gonna cook for me "
"+", "Mon Jun 15 19:00:13 PDT 2009", "rockrobot5000", "lol wow! mor important then food&gt; lmao iight and thanks 4 askin ur follower to follow me to "
"+", "Mon Jun 15 19:00:26 PDT 2009", "maclem_jr", "Doing homework, studying for finals, editing the meetup video, IM'ing people, and twittering the mundane as usual. "
"+", "Mon Jun 15 19:02:14 PDT 2009", "KaylaKurys", "@druidDUDE hearing that just puts a smile on my face "
"+", "Mon Jun 15 19:02:16 PDT 2009", "Queen_Purple", "is so ready for the No Doubt concert tomorrow niiiiight "
"+", "Mon Jun 15 19:02:22 PDT 2009", "luke255", "Welcome back Steve  #stevejobsreturn"
"+", "Mon Jun 15 19:02:23 PDT 2009", "bryanarmada", "@karijones yeah because everyone else was "
"+", "Mon Jun 15 19:06:15 PDT 2009", "missjoiner", "cant wait til friday "
"+", "Mon Jun 15 19:08:20 PDT 2009", "jackiemos", "Just made some homemade sushi   gonna sit, eat, relax and watch GRAN TORINO for the second time be4 having to return it to blockbuster"
"+", "Mon Jun 15 19:10:30 PDT 2009", "hotcereal", "Just cleaned out a few of my followers. "
"+", "Mon Jun 15 19:12:24 PDT 2009", "so_crispy", "@Pangeaaaa happy birthday loverrrrr "
"+", "Mon Jun 15 19:14:17 PDT 2009", "XXStephanieX", "#musicmonday eminem-beautiful "
"+", "Mon Jun 15 19:14:25 PDT 2009", "amillavtr", "Get into his Life... Can I ??  "
"+", "Mon Jun 15 19:14:25 PDT 2009", "ftshaydee", "just fixed this  ilikeeee it!hehe http://twitgoo.com/tl54"
"+", "Mon Jun 15 19:16:25 PDT 2009", "EHASSELBECK", "@K8Hull so happy to hear it!  if you have any ?'s i am here.  GO GFREE GIRL!"
"+", "Mon Jun 15 19:20:30 PDT 2009", "amkincaid", "I have only been out of the room I shared with @tphilipps for 10 minutes &amp; she has come in my room twice...I think she misses me "
"+", "Mon Jun 15 19:20:30 PDT 2009", "TarynnPaschall", "Kaelyn has moved from saying &quot;mamama&quot; to &quot;dadada&quot; awww "
"+", "Mon Jun 15 19:22:26 PDT 2009", "MarthaGiffen", "@MJSchrader That was FAST!  You are inspiring "
"+", "Mon Jun 15 19:22:30 PDT 2009", "alycemaree", "@BobEvansMusic i wanted to get to the show but i had an exam, hope it went well...loving goodnight bull creek "
"+", "Mon Jun 15 19:24:29 PDT 2009", "pacomontoya", "@joecavazos  Thanks bro. I used it at work all the time, and I finally get to use it at home now. "
"+", "Mon Jun 15 19:26:17 PDT 2009", "gregfasolino", "@Brytnee Hey, Cwork O was my favorite movie ever for many years---seen it more times than any other, and nothing wrong with me! "
"+", "Mon Jun 15 19:28:32 PDT 2009", "MiaCate", "Watching my ex and a boyfriend work on the house!  funny"
"+", "Mon Jun 15 19:32:38 PDT 2009", "chris_mcmahon", "@msuarz I'd like tomorrow to be a little more productive than today. "
"+", "Mon Jun 15 19:36:26 PDT 2009", "dcmetrogirl", "The only thing I didn't find today was a bathing suit. Looked at Target, Old Navy, and Macy's. Any other suggestions for places to look? "
"+", "Mon Jun 15 19:36:31 PDT 2009", "Judyallbrite", "@hansonmusic I love your acoustic stuff.    Underneath Acoustic might be my favorite album of yours."
"+", "Mon Jun 15 19:38:32 PDT 2009", "lisakm1109", "@Roseshouse @otibml Me too "
"+", "Mon Jun 15 19:38:36 PDT 2009", "rockdrool", "@CyndysZoo just hottie, right "
"+", "Mon Jun 15 19:38:39 PDT 2009", "fusionfitmomi", "@melissabeck ha, ha ha. LOVES it. congrats on day 1, day 2 will be here soon! "
"+", "Mon Jun 15 19:40:31 PDT 2009", "lskadjf", "If anyone could help us out, that would be fantastico. "
"+", "Mon Jun 15 19:40:33 PDT 2009", "babealertCEO", "Hi #babealert #oftheday @MissWy  Have you enjoyed yourself today? I know I did "
"+", "Mon Jun 15 19:42:22 PDT 2009", "soniagomez", "Taylor Lautner looks good in a suit. "
"+", "Mon Jun 15 19:42:25 PDT 2009", "nialldavid", "I have stained my shirt, but I have cooked a yummy dinner "
"+", "Mon Jun 15 19:46:30 PDT 2009", "mandyrn25", "@DonnieWahlberg your tweets are a highlight to my day...thanx for staying close to us "
"+", "Mon Jun 15 19:46:39 PDT 2009", "sassyred", "@Bahamabob One four hour phone call?  I've done that before.  "
"+", "Mon Jun 15 19:46:48 PDT 2009", "xoKathurin", "Going to sleep. History is last period &amp; I have music tomorrow so I could study all day  But it would be amazing if she was absent..."
"+", "Mon Jun 15 19:50:37 PDT 2009", "schmandrea", "''oh hey derrs lauren! Hey lauren, hey! Ooh she so crazy!'' Hahha clark "
"+", "Mon Jun 15 19:50:39 PDT 2009", "ryansanders", "@ajswagga no prob. Just thought u'd want to know! "
"+", "Mon Jun 15 19:50:49 PDT 2009", "AKomicTwin", "@THE_WOCKEEZ - I love you, Phi. "
